PARAMETER,LABEL,DESCRIPTION,CODE,DECODE
algormetry.1,ext.carpi radialis,1.Craniolateral aspect of the mid-belly of the extensor carpi radialis muscle at the height of the elbow,,
algormetry.2,radio-carpal joint,2. Radial carpal bone+radius medial to extensor carpi radialis tendon,,
algormetry.3,intermediate carpal bone,3.Intermediate carpal bone+3rd carpal bone lateral to extensor carpi radialis tendon,,
algormetry.4,accessory carpal bone,4. Lateral aspect of mid-body of accessory carpal bone near m.ulnaris lat. tendon,,
algormetry.5,carpo-metacarpal joint,5.3rd carpal bone+ metacarpal bone medial to extensor carpi radialis tendon,,
algormetry.6,metacarpal bone,6.Dorsal 1/3 MCIII medial to digital extensor tendon,,
algormetry.7,coronary band,"7.Dorsal-most aspect of the coronary band, lateral to m.extensor digitalis communis",,
lameness.sub,subj.lameness,subjective lameness,0,not lame
lameness.sub,subj.lameness,subjective lameness,1,lame 1/5
lameness.sub,subj.lameness,subjective lameness,2,lame 2/5
lameness.sub,subj.lameness,subjective lameness,3,lame 3/5
lameness.sub,subj.lameness,subjective lameness,4,lame 4/5
lameness.sub,subj.lameness,subjective lameness,5,lame 5/5
lameness.flex,flexion test,flexion test carpus,0,negative
lameness.flex,flexion test,flexion test carpus,1,positive
lameness.sym,SI,symmetry index,>1.18,lameness left front leg
lameness.sym,SI,symmetry index,<0.82,lameness right front leg
palpation,palpation,joint palpation,0,not painful
palpation,palpation,joint palpation,1,mildly painful
palpation,palpation,joint palpation,2,painful
palpation,palpation,joint palpation,3,severely painful
swelling.sub,joint swelling,subjective joint swelling,0,no swelling
swelling.sub,joint swelling,subjective joint swelling,1,mild swelling
swelling.sub,joint swelling,subjective joint swelling,2,swelling
swelling.sub,short label,subjective joint swelling,3,severe swelling
cps.score,CPS,composite orthopedic pain scale,scale 0-36,<20 no symptoms of pain being shown
cps.score,CPS,composite orthopedic pain scale,scale 0-36,>20 horse is clearly painful
IL-1_,Interleukin 1beta,,,
TNF_,Tumor Necrosis Factor _,,,
